,MAS_S,MAS_O,MAS_D,MAS_M,PD,METACOG
37,7.5,4.0,2.5,4.5,4.0,18.5
38,6.5,6.0,1.5,7.5,4.0,21.5
39,7.5,5.0,1.5,6.0,8.0,20.0
40,8.0,6.0,1.5,6.5,7.0,22.0
41,6.5,5.0,2.5,6.5,13.0,20.5
42,7.5,6.0,2.0,7.5,27.0,23.0
43,6.5,4.5,2.0,6.5,25.0,19.5
44,7.0,5.5,3.0,5.0,24.0,20.5
45,6.5,5.5,3.0,5.5,5.0,20.5
46,5.5,5.5,2.0,7.0,21.0,20.0
47,7.0,4.5,2.5,6.5,0.0,20.5
48,8.0,4.5,1.5,5.5,26.0,19.5
49,7.0,4.5,1.5,7.5,4.0,20.5
50,5.5,4.0,1.5,6.0,26.0,17.0
51,8.0,5.5,2.5,6.0,23.0,22.0
52,7.5,6.0,3.0,8.0,16.0,24.5
53,5.5,4.5,1.5,6.5,16.0,18.0
54,8.0,5.0,2.5,7.0,8.0,22.5
55,6.0,6.0,2.5,5.0,10.0,19.5
56,6.0,4.0,2.0,5.0,12.0,17.0
57,6.0,5.0,2.5,5.5,17.0,19.0
58,6.0,4.5,1.5,6.0,19.0,18.0
59,8.0,5.5,3.0,6.5,15.0,23.0
60,8.0,5.5,2.5,6.5,27.0,22.5
61,8.0,5.5,3.0,7.0,2.0,23.5
62,6.0,4.0,2.5,7.0,23.0,19.5
63,8.0,4.0,2.0,6.5,2.0,20.5
64,5.5,4.0,2.0,6.0,25.0,17.5
65,6.5,5.0,2.0,7.0,22.0,20.5
66,7.0,5.5,1.5,4.5,19.0,18.5
67,6.5,6.0,3.0,8.0,10.0,23.5
68,7.0,4.5,2.0,6.5,27.0,20.0
69,8.0,5.0,2.0,6.5,15.0,21.5
70,5.5,5.0,1.5,4.5,5.0,16.5
71,7.5,5.0,2.0,4.5,8.0,19.0
72,7.0,4.0,1.5,6.0,5.0,18.5
73,6.5,4.0,3.0,6.5,1.0,20.0
74,8.0,6.0,2.5,5.5,10.0,22.0
75,5.5,5.0,2.0,5.0,0.0,17.5
76,7.0,4.0,2.5,4.5,2.0,18.0
77,7.5,5.0,2.0,6.0,21.0,20.5
78,7.0,4.5,2.5,7.5,7.0,21.5
79,6.5,5.5,1.5,5.5,4.0,19.0
80,7.0,4.0,2.0,5.0,22.0,18.0
81,6.0,4.5,2.0,8.0,1.0,20.5
82,8.0,5.0,2.5,7.0,3.0,22.5
83,7.5,4.0,2.5,5.0,10.0,19.0
84,5.5,6.0,2.0,5.5,5.0,19.0
85,6.5,5.0,3.0,7.5,22.0,22.0
86,8.0,4.5,2.5,6.5,23.0,21.5
87,6.5,5.5,3.0,7.0,1.0,22.0
88,6.0,5.0,1.5,5.0,0.0,17.5
89,8.0,4.5,1.5,6.0,12.0,20.0
90,6.5,5.0,1.5,6.0,9.0,19.0
91,8.0,5.0,1.5,6.5,11.0,21.0
92,5.5,4.0,3.0,7.0,11.0,19.5
93,7.0,4.0,3.0,5.0,12.0,19.0
94,7.5,4.5,2.0,7.0,12.0,21.0
95,7.5,4.5,3.0,5.5,18.0,20.5
96,5.5,6.0,3.0,6.0,22.0,20.5
97,7.5,5.0,3.0,7.5,18.0,23.0
98,5.5,5.0,3.0,5.0,4.0,18.5
99,6.0,4.0,2.0,6.0,12.0,18.0
100,8.0,4.5,3.0,7.0,25.0,22.5
101,7.5,5.5,2.5,7.0,0.0,22.5
102,8.0,4.0,2.0,5.0,18.0,19.0
103,8.0,4.0,2.5,8.0,17.0,22.5
104,8.0,4.0,3.0,7.5,5.0,22.5
105,6.5,4.0,3.0,4.5,15.0,18.0
106,5.5,5.0,2.5,6.5,20.0,19.5
107,8.0,5.5,3.0,7.5,16.0,24.0
108,8.0,4.0,2.5,7.0,6.0,21.5
109,7.0,6.0,2.0,5.0,7.0,20.0
110,7.5,4.5,3.0,8.0,1.0,23.0
111,6.0,5.0,2.5,7.5,22.0,21.0
112,6.5,5.5,2.5,8.0,3.0,22.5
113,7.5,6.0,3.0,7.0,10.0,23.5
114,7.0,4.0,2.0,6.0,27.0,19.0
115,8.0,5.0,2.5,5.5,23.0,21.0
116,7.0,4.0,2.0,7.5,4.0,20.5
117,7.5,5.0,1.5,4.5,27.0,18.5
118,8.0,4.0,2.5,5.0,25.0,19.5
119,8.0,5.0,2.0,7.5,4.0,22.5
120,8.0,5.5,2.5,5.5,19.0,21.5
121,8.0,4.5,2.5,4.5,23.0,19.5
122,6.0,4.5,2.0,5.0,12.0,17.5
123,8.0,4.0,1.5,7.0,5.0,20.5
124,6.5,4.5,2.5,6.5,2.0,20.0
125,7.0,5.0,3.0,7.0,12.0,22.0
126,6.5,5.5,3.0,7.0,9.0,22.0
127,6.0,4.0,2.5,8.0,27.0,20.5
128,6.5,5.0,1.5,6.5,17.0,19.5
129,7.5,6.0,1.5,4.5,12.0,19.5
130,8.0,5.0,1.5,7.5,21.0,22.0
131,8.0,4.5,3.0,6.0,6.0,21.5
132,8.0,5.0,2.0,6.0,12.0,21.0
133,5.5,4.0,1.5,5.0,15.0,16.0
134,7.5,5.0,1.5,5.5,6.0,19.5
135,8.0,4.0,2.0,7.5,22.0,21.5
136,6.5,5.5,3.0,8.0,4.0,23.0
137,6.0,5.5,3.0,6.0,4.0,20.5
138,7.5,4.0,2.5,7.5,7.0,21.5
139,7.5,6.0,2.5,6.0,24.0,22.0
140,7.0,4.5,2.0,6.5,12.0,20.0
141,6.5,6.0,3.0,5.0,1.0,20.5
142,6.5,6.0,1.5,4.5,9.0,18.5
143,7.5,4.5,1.5,6.5,16.0,20.0
144,6.0,6.0,1.5,8.0,6.0,21.5
145,7.5,6.0,2.0,6.5,12.0,22.0
146,8.0,4.5,1.5,6.0,15.0,20.0
147,6.5,4.5,2.0,5.0,16.0,18.0
148,6.0,4.5,3.0,6.5,14.0,20.0
149,8.0,5.0,3.0,7.0,24.0,23.0
150,7.0,6.0,1.5,7.0,14.0,21.5
151,7.0,6.0,3.0,4.5,7.0,20.5
152,6.0,5.5,2.0,7.5,22.0,21.0
153,6.5,5.5,2.0,6.5,16.0,20.5
154,8.0,4.0,1.5,7.5,24.0,21.0
155,8.0,5.5,2.5,5.0,7.0,21.0
156,8.0,4.0,1.5,7.0,6.0,20.5
157,6.0,5.0,2.5,7.5,9.0,21.0
158,7.5,5.0,2.0,7.5,6.0,22.0
159,6.0,4.5,2.0,7.0,5.0,19.5
160,6.5,4.5,1.5,5.5,6.0,18.0
161,8.0,5.5,1.5,7.0,2.0,22.0
162,7.5,6.0,2.5,5.5,20.0,21.5
163,6.0,5.5,3.0,5.5,8.0,20.0
164,5.5,4.0,2.0,7.0,25.0,18.5
165,7.5,5.0,3.0,8.0,16.0,23.5
166,6.0,6.0,1.5,8.0,4.0,21.5
167,7.5,6.0,2.5,5.5,24.0,21.5
168,7.5,4.5,1.5,7.0,21.0,20.5
169,6.0,5.0,1.5,7.5,16.0,20.0
170,6.5,5.0,3.0,7.5,15.0,22.0
171,7.0,4.5,2.5,7.0,18.0,21.0
172,7.0,4.5,3.0,4.5,25.0,19.0
173,5.5,5.5,2.5,5.5,11.0,19.0
174,7.5,5.0,2.5,5.5,16.0,20.5
175,6.0,4.5,3.0,5.5,6.0,19.0
176,7.5,6.0,3.0,4.5,7.0,21.0
177,8.0,5.5,3.0,6.0,24.0,22.5
178,6.5,4.5,2.5,7.0,10.0,20.5
179,8.0,6.0,3.0,5.5,25.0,22.5
180,8.0,4.0,3.0,7.0,19.0,22.0
181,8.0,5.5,3.0,4.5,13.0,21.0
182,6.0,5.5,2.5,5.5,2.0,19.5
183,7.0,6.0,2.5,6.5,1.0,22.0
184,6.0,4.0,2.5,5.0,0.0,17.5
185,7.5,5.0,2.5,6.0,23.0,21.0
186,7.0,4.5,3.0,7.5,7.0,22.0
187,5.5,4.5,2.0,5.0,11.0,17.0
188,5.5,6.0,3.0,5.5,3.0,20.0
189,7.0,6.0,2.5,7.0,22.0,22.5
190,8.0,4.0,2.5,7.0,9.0,21.5
191,7.0,6.0,1.5,8.0,5.0,22.5
192,6.5,4.5,3.0,7.0,20.0,21.0
193,8.0,6.0,2.5,5.0,6.0,21.5
194,6.0,5.5,2.0,5.0,24.0,18.5
195,5.5,4.5,3.0,8.0,4.0,21.0
196,7.0,6.0,2.0,5.5,23.0,20.5
197,8.0,5.0,3.0,7.0,0.0,23.0
198,5.5,5.0,2.0,6.5,3.0,19.0
199,7.0,6.0,3.0,6.5,13.0,22.5
200,6.0,4.0,1.5,6.5,1.0,18.0
201,5.5,4.0,2.0,6.5,9.0,18.0
202,5.5,4.0,2.0,7.5,8.0,19.0
203,6.5,4.0,2.5,8.0,23.0,21.0
204,6.0,4.5,2.0,5.5,21.0,18.0
205,8.0,4.0,1.5,4.5,16.0,18.0
206,6.0,5.5,1.5,8.0,8.0,21.0
207,7.0,5.5,3.0,6.5,18.0,22.0
208,7.0,5.0,2.5,4.5,20.0,19.0
209,8.0,6.0,1.5,8.0,21.0,23.5
210,6.0,5.5,3.0,4.5,1.0,19.0
211,7.5,6.0,1.5,5.0,15.0,20.0
212,7.0,5.5,3.0,8.0,16.0,23.5
213,6.5,4.5,2.0,6.5,11.0,19.5
214,6.5,6.0,2.0,6.0,27.0,20.5
215,5.5,6.0,2.0,7.0,18.0,20.5
216,6.0,5.5,1.5,6.0,1.0,19.0
217,6.5,5.5,2.0,8.0,0.0,22.0
218,7.0,6.0,2.0,6.5,0.0,21.5
219,6.0,6.0,2.0,6.5,27.0,20.5
220,5.5,4.0,1.5,6.5,17.0,17.5
221,7.0,4.0,2.0,6.5,21.0,19.5
222,6.5,4.0,1.5,7.0,18.0,19.0
223,7.0,5.0,3.0,5.0,3.0,20.0
224,7.5,4.0,2.0,4.5,13.0,18.0
225,7.0,4.5,2.5,5.0,24.0,19.0
226,6.5,5.0,1.5,7.0,15.0,20.0
227,6.5,5.5,2.5,5.5,7.0,20.0
228,6.0,4.5,3.0,6.5,16.0,20.0
229,7.5,5.5,3.0,7.0,4.0,23.0
230,6.0,4.5,2.5,7.5,26.0,20.5
231,7.0,4.5,2.0,8.0,20.0,21.5
232,6.0,5.0,2.5,6.5,7.0,20.0
233,7.5,4.5,2.0,8.0,14.0,22.0
234,7.0,5.5,2.0,6.5,3.0,21.0
235,7.0,4.5,1.5,6.5,3.0,19.5
236,6.5,4.5,2.5,7.0,15.0,20.5
237,8.0,6.0,2.5,5.0,14.0,21.5
238,6.0,4.0,2.5,6.0,14.0,18.5
239,6.5,4.5,2.0,6.5,1.0,19.5
240,5.5,6.0,1.5,5.0,27.0,18.0
241,5.5,5.0,2.5,6.5,20.0,19.5
242,7.0,4.5,2.0,7.0,12.0,20.5
243,8.0,5.5,1.5,8.0,17.0,23.0
244,8.0,4.5,1.5,6.5,26.0,20.5
245,7.0,4.0,3.0,6.5,5.0,20.5
246,6.5,5.0,1.5,6.5,1.0,19.5
247,7.5,5.0,2.5,6.5,8.0,21.5
248,7.5,4.5,3.0,8.0,4.0,23.0
249,6.0,6.0,2.5,6.0,13.0,20.5
250,6.0,4.5,2.5,7.5,11.0,20.5
251,5.5,4.5,2.5,8.0,17.0,20.5
252,8.0,4.5,3.0,8.0,19.0,23.5
253,8.0,5.0,2.5,8.0,6.0,23.5
254,5.5,4.0,2.0,5.0,17.0,16.5
255,6.0,4.0,1.5,7.5,17.0,19.0
256,8.0,6.0,2.0,5.0,0.0,21.0
257,6.5,6.0,3.0,7.5,18.0,23.0
258,7.0,5.5,2.5,5.5,3.0,20.5
259,8.0,5.0,2.0,6.0,21.0,21.0
260,6.0,6.0,3.0,5.0,27.0,20.0
261,5.5,5.5,3.0,7.5,2.0,21.5
262,5.5,4.0,2.0,7.5,7.0,19.0
263,7.0,4.0,1.5,7.5,18.0,20.0
264,8.0,4.0,3.0,7.5,4.0,22.5
265,8.0,4.5,1.5,5.0,22.0,19.0
266,7.5,4.0,2.0,5.0,10.0,18.5
267,7.0,4.5,2.5,7.5,8.0,21.5
268,7.0,4.0,2.5,5.0,8.0,18.5
269,6.0,5.5,3.0,6.0,13.0,20.5
270,8.0,5.0,2.5,6.0,25.0,21.5
271,6.0,5.0,1.5,7.0,16.0,19.5
272,7.5,5.5,3.0,8.0,4.0,24.0
273,7.0,6.0,3.0,6.0,2.0,22.0
274,6.0,6.0,2.5,5.0,27.0,19.5
275,7.0,5.5,2.5,5.5,20.0,20.5
276,6.5,4.0,3.0,4.5,8.0,18.0
277,7.0,6.0,2.0,5.0,10.0,20.0
278,6.5,5.5,2.5,4.5,22.0,19.0
279,6.5,4.5,2.0,4.5,8.0,17.5
280,7.0,4.0,1.5,5.0,3.0,17.5
281,5.5,5.5,2.0,8.0,22.0,21.0
282,6.5,6.0,2.0,6.5,23.0,21.0
283,6.0,5.0,2.5,5.0,10.0,18.5
284,7.0,5.5,3.0,8.0,10.0,23.5
285,6.0,5.0,1.5,6.0,24.0,18.5
286,8.0,5.0,2.5,6.5,22.0,22.0
287,7.0,5.5,2.5,8.0,22.0,23.0
288,7.5,5.0,2.0,7.0,8.0,21.5
289,7.0,4.0,3.0,7.5,25.0,21.5
290,7.5,6.0,3.0,8.0,16.0,24.5
291,6.5,4.5,2.5,8.0,5.0,21.5
292,5.5,4.5,3.0,8.0,11.0,21.0
293,6.5,5.5,1.5,4.5,7.0,18.0
294,7.5,4.5,2.0,5.0,3.0,19.0
295,8.0,6.0,3.0,7.0,2.0,24.0
296,7.5,6.0,2.0,6.5,2.0,22.0
297,7.5,5.5,3.0,8.0,16.0,24.0
298,6.5,5.5,2.0,7.0,15.0,21.0
299,8.0,6.0,2.5,6.0,25.0,22.5
300,6.5,5.0,2.0,6.0,4.0,19.5
301,6.0,5.0,1.5,6.0,21.0,18.5
302,7.5,4.0,3.0,7.5,25.0,22.0
303,7.5,4.0,2.0,6.5,13.0,20.0
304,7.0,4.5,1.5,4.5,19.0,17.5
305,7.0,4.0,2.5,7.0,10.0,20.5
306,8.0,6.0,1.5,5.5,24.0,21.0
307,6.5,6.0,1.5,5.5,7.0,19.5
308,6.5,5.5,3.0,6.0,13.0,21.0
309,7.0,6.0,2.5,7.5,11.0,23.0
310,7.0,5.5,3.0,4.5,27.0,20.0
311,7.5,6.0,3.0,5.0,23.0,21.5
312,6.0,5.5,1.5,4.5,21.0,17.5
313,7.5,5.0,3.0,5.5,10.0,21.0
314,7.0,4.5,3.0,6.0,9.0,20.5
315,6.5,4.5,2.0,7.5,26.0,20.5
316,5.5,4.0,1.5,4.5,20.0,15.5
317,7.5,4.5,1.5,5.5,6.0,19.0
318,6.0,6.0,3.0,8.0,15.0,23.0
319,8.0,6.0,2.0,7.5,5.0,23.5
320,5.5,4.5,2.0,5.0,10.0,17.0
321,8.0,5.0,2.0,5.5,17.0,20.5
322,6.0,4.0,3.0,6.5,11.0,19.5
323,7.5,6.0,3.0,7.5,20.0,24.0
324,6.5,6.0,1.5,5.5,13.0,19.5
325,5.5,6.0,2.0,6.5,13.0,20.0
326,5.5,4.5,3.0,8.0,11.0,21.0
327,7.0,4.5,1.5,6.5,9.0,19.5
328,6.0,4.0,2.5,7.0,16.0,19.5
329,8.0,5.5,2.0,6.0,2.0,21.5
330,6.0,6.0,1.5,6.5,3.0,20.0
331,6.0,6.0,3.0,7.0,12.0,22.0
332,7.0,4.5,2.0,5.5,21.0,19.0
333,6.0,5.5,1.5,5.5,23.0,18.5
334,6.5,4.0,1.5,7.0,17.0,19.0
335,8.0,5.5,3.0,4.5,23.0,21.0
336,8.0,6.0,2.5,6.0,15.0,22.5
337,8.0,6.0,1.5,6.0,24.0,21.5
338,5.5,5.0,2.5,4.5,5.0,17.5
339,7.5,5.5,3.0,5.5,1.0,21.5
340,8.0,5.0,3.0,6.0,19.0,22.0
341,7.0,5.5,1.5,6.0,6.0,20.0
342,8.0,4.0,2.5,7.5,16.0,22.0
343,5.5,5.0,2.0,4.5,11.0,17.0
344,5.5,5.0,3.0,5.0,14.0,18.5
345,7.5,6.0,2.0,7.0,14.0,22.5
346,7.0,5.5,1.5,5.0,4.0,19.0
347,5.5,4.0,1.5,7.0,15.0,18.0
348,6.0,5.0,2.5,4.5,27.0,18.0
349,8.0,5.0,1.5,7.5,17.0,22.0
350,5.5,4.0,3.0,7.0,16.0,19.5
351,8.0,5.5,2.0,6.0,12.0,21.5
352,7.5,5.5,3.0,8.0,0.0,24.0
353,6.5,6.0,2.0,6.0,7.0,20.5
354,5.5,6.0,2.5,4.5,4.0,18.5
355,7.0,6.0,3.0,8.0,27.0,24.0
356,5.5,4.5,1.5,5.5,6.0,17.0
357,6.5,4.5,2.0,5.0,13.0,18.0
358,5.5,5.5,1.5,4.5,12.0,17.0
359,5.5,5.0,2.5,7.0,13.0,20.0
360,7.0,5.5,2.0,4.5,1.0,19.0
361,7.5,4.5,2.5,8.0,12.0,22.5
362,8.0,4.5,3.0,5.5,27.0,21.0
363,8.0,4.5,3.0,4.5,15.0,20.0
364,6.5,4.0,2.0,7.0,26.0,19.5
365,6.5,5.0,3.0,5.0,20.0,19.5
366,7.0,4.5,2.5,4.5,18.0,18.5
367,7.0,4.0,2.0,5.0,10.0,18.0
368,5.5,5.0,3.0,4.5,26.0,18.0
369,8.0,4.5,3.0,5.5,4.0,21.0
370,6.5,4.5,2.5,5.0,13.0,18.5
371,7.0,6.0,3.0,5.5,6.0,21.5
372,6.0,5.0,2.0,5.5,18.0,18.5
373,6.0,4.5,3.0,6.5,27.0,20.0
374,5.5,5.5,2.5,7.0,25.0,20.5
375,7.5,5.5,1.5,7.5,27.0,22.0
376,8.0,5.0,3.0,4.5,12.0,20.5
377,5.5,5.5,1.5,6.5,22.0,19.0
378,6.0,5.5,1.5,6.5,7.0,19.5
379,5.5,4.5,1.5,4.5,27.0,16.0
380,7.5,4.5,3.0,6.0,0.0,21.0
381,6.0,6.0,1.5,7.0,0.0,20.5
382,7.0,5.0,1.5,6.5,13.0,20.0
383,5.5,5.0,1.5,8.0,26.0,20.0
384,8.0,5.5,1.5,5.5,8.0,20.5
385,7.0,5.0,2.0,7.5,16.0,21.5
386,7.0,6.0,3.0,6.0,22.0,22.0
387,6.5,4.0,2.0,5.5,2.0,18.0
388,8.0,4.0,3.0,6.5,17.0,21.5
389,7.5,4.5,1.5,4.5,15.0,18.0
390,6.5,5.5,2.5,8.0,7.0,22.5
391,8.0,6.0,2.0,7.0,16.0,23.0
392,7.0,6.0,2.0,4.5,16.0,19.5
393,6.5,5.5,3.0,5.5,1.0,20.5
394,6.5,4.0,1.5,7.5,26.0,19.5
395,7.0,6.0,3.0,7.0,23.0,23.0
396,6.0,4.0,1.5,6.5,24.0,18.0
397,6.0,6.0,2.0,7.5,6.0,21.5
398,7.5,4.5,3.0,5.0,10.0,20.0
399,7.0,4.5,2.5,7.0,20.0,21.0
400,8.0,4.5,3.0,7.0,14.0,22.5
401,7.5,5.5,2.0,6.5,20.0,21.5
402,8.0,6.0,2.0,5.5,19.0,21.5
403,5.5,6.0,1.5,4.5,10.0,17.5
404,6.5,4.0,1.5,7.5,14.0,19.5
405,6.0,6.0,3.0,6.5,10.0,21.5
406,7.0,5.5,1.5,6.0,8.0,20.0
407,6.0,5.0,2.0,7.5,26.0,20.5
408,7.0,5.0,2.0,7.0,9.0,21.0
409,6.5,5.5,3.0,6.0,24.0,21.0
410,6.5,4.5,2.0,6.0,8.0,19.0
411,6.0,5.5,2.0,7.5,7.0,21.0
412,6.0,4.5,1.5,6.0,27.0,18.0
413,5.5,5.5,2.0,6.5,24.0,19.5
414,6.5,6.0,2.0,6.0,2.0,20.5
415,5.5,5.5,2.5,6.5,3.0,20.0
416,8.0,4.5,1.5,5.0,16.0,19.0
417,8.0,4.0,2.5,4.5,22.0,19.0
418,6.0,5.0,1.5,5.0,9.0,17.5
419,6.0,4.5,2.5,5.0,5.0,18.0
420,7.5,5.5,2.0,8.0,23.0,23.0
421,7.0,6.0,2.5,7.5,0.0,23.0
422,8.0,6.0,2.5,6.5,27.0,23.0
423,7.5,5.5,2.0,8.0,4.0,23.0
424,7.0,4.5,2.0,7.5,27.0,21.0
425,8.0,4.0,3.0,5.0,25.0,20.0
426,5.5,6.0,1.5,5.0,6.0,18.0
427,8.0,4.0,2.5,7.0,11.0,21.5
428,6.5,6.0,2.5,7.5,3.0,22.5
429,8.0,5.5,2.5,6.5,4.0,22.5
430,5.5,4.5,2.0,6.0,10.0,18.0
431,7.0,6.0,1.5,8.0,2.0,22.5
432,8.0,4.5,2.5,7.0,4.0,22.0
433,5.5,5.5,1.5,5.0,8.0,17.5
434,7.5,4.0,3.0,8.0,10.0,22.5
435,7.0,5.5,3.0,7.5,6.0,23.0
436,8.0,5.0,3.0,6.0,7.0,22.0
437,6.5,5.0,1.5,7.5,19.0,20.5
438,7.0,6.0,3.0,7.5,7.0,23.5
439,6.5,4.5,1.5,8.0,17.0,20.5
440,6.5,5.5,1.5,7.5,19.0,21.0
441,6.5,6.0,1.5,4.5,1.0,18.5
442,5.5,5.0,2.5,6.0,0.0,19.0
443,5.5,5.0,3.0,4.5,7.0,18.0
444,7.0,4.0,3.0,6.0,18.0,20.0
445,5.5,5.5,2.5,6.5,2.0,20.0
446,6.5,5.5,1.5,6.0,20.0,19.5
447,6.0,4.0,2.0,8.0,24.0,20.0
448,6.5,5.5,2.0,4.5,1.0,18.5
449,8.0,5.0,1.5,6.0,9.0,20.5
450,7.0,5.0,2.0,5.0,5.0,19.0
451,7.0,6.0,2.0,6.5,0.0,21.5
452,6.0,6.0,3.0,5.5,9.0,20.5
453,6.0,4.5,3.0,6.0,22.0,19.5
454,7.5,5.5,3.0,4.5,13.0,20.5
455,7.0,5.5,3.0,8.0,21.0,23.5
456,5.5,4.5,1.5,7.5,19.0,19.0
457,8.0,5.5,1.5,5.0,16.0,20.0
458,5.5,5.0,1.5,4.5,20.0,16.5
459,6.0,4.0,1.5,5.0,23.0,16.5
460,7.5,6.0,2.5,7.5,8.0,23.5
461,5.5,6.0,2.0,5.5,11.0,19.0
462,5.5,4.0,1.5,5.5,24.0,16.5
463,7.5,4.0,1.5,6.5,27.0,19.5
464,5.5,6.0,2.5,8.0,10.0,22.0
465,8.0,4.0,1.5,7.0,9.0,20.5
466,7.0,4.0,3.0,6.0,27.0,20.0
467,5.5,4.5,2.5,5.0,6.0,17.5
468,7.5,5.0,3.0,5.5,27.0,21.0
469,5.5,6.0,1.5,7.0,5.0,20.0
470,6.5,4.5,2.5,5.0,0.0,18.5
471,6.5,4.5,1.5,8.0,18.0,20.5
472,7.5,6.0,2.5,8.0,11.0,24.0
473,6.0,4.0,2.5,6.0,19.0,18.5
474,7.0,5.0,2.0,4.5,1.0,18.5
475,7.0,5.0,3.0,6.5,5.0,21.5
476,7.0,5.0,2.5,5.5,12.0,20.0
477,5.5,5.5,2.0,5.0,7.0,18.0
478,6.5,6.0,3.0,6.5,11.0,22.0
479,7.0,5.5,3.0,7.0,27.0,22.5
480,8.0,6.0,2.0,7.0,13.0,23.0
481,7.5,4.0,3.0,4.5,11.0,19.0
482,7.5,4.5,3.0,8.0,7.0,23.0
483,6.5,6.0,2.5,6.0,20.0,21.0
484,7.5,5.5,3.0,6.0,13.0,22.0
485,6.5,4.0,3.0,6.0,26.0,19.5
486,6.5,4.0,1.5,6.0,20.0,18.0
487,8.0,5.0,2.5,8.0,3.0,23.5
488,7.5,5.0,1.5,5.0,13.0,19.0
489,6.5,6.0,2.5,7.0,4.0,22.0
490,7.0,5.0,2.0,6.5,2.0,20.5
491,6.0,4.5,2.0,4.5,5.0,17.0
492,6.5,5.0,1.5,6.5,25.0,19.5
493,6.0,4.5,2.0,6.5,2.0,19.0
494,6.0,5.5,2.0,7.0,25.0,20.5
495,8.0,4.5,2.0,6.0,3.0,20.5
496,5.5,5.5,2.5,5.0,17.0,18.5
497,7.0,4.0,2.5,7.0,13.0,20.5
498,8.0,4.0,3.0,7.0,0.0,22.0
499,7.5,4.0,1.5,7.5,13.0,20.5
500,6.5,5.0,2.5,8.0,20.0,22.0
501,6.0,5.5,1.5,7.0,13.0,20.0
502,7.5,6.0,1.5,6.5,25.0,21.5
503,7.5,4.5,2.5,8.0,6.0,22.5
504,7.0,6.0,2.0,6.0,12.0,21.0
505,7.5,4.5,2.5,6.5,5.0,21.0
506,7.5,6.0,2.5,6.0,26.0,22.0
507,7.0,4.0,3.0,5.5,3.0,19.5
508,6.5,4.5,2.0,7.0,3.0,20.0
509,7.0,5.0,3.0,4.5,13.0,19.5
510,7.0,4.5,2.5,5.5,25.0,19.5
511,6.5,5.5,3.0,5.0,10.0,20.0
512,8.0,5.0,3.0,6.5,22.0,22.5
513,6.5,5.0,2.5,6.0,9.0,20.0
514,6.5,4.5,2.5,4.5,9.0,18.0
515,6.0,5.0,3.0,6.5,12.0,20.5
516,7.5,4.0,2.5,7.0,7.0,21.0
517,7.5,4.0,3.0,4.5,23.0,19.0
518,7.5,6.0,1.5,7.0,2.0,22.0
519,7.0,4.0,2.5,7.5,14.0,21.0
520,7.0,4.0,2.0,5.5,21.0,18.5
521,7.0,6.0,2.5,6.5,1.0,22.0
522,7.0,4.0,1.5,8.0,22.0,20.5
523,6.5,5.5,3.0,5.0,26.0,20.0
524,5.5,4.5,3.0,5.5,8.0,18.5
525,8.0,4.0,3.0,5.5,5.0,20.5
526,6.5,5.0,2.5,7.5,24.0,21.5
527,7.0,5.5,1.5,5.0,26.0,19.0
528,5.5,6.0,3.0,7.5,16.0,22.0
529,7.5,4.0,2.5,7.0,4.0,21.0
530,6.5,6.0,1.5,6.0,0.0,20.0
531,6.0,5.5,2.5,6.5,20.0,20.5
532,7.0,6.0,1.5,5.5,5.0,20.0
533,8.0,5.5,3.0,6.0,18.0,22.5
534,6.0,6.0,1.5,6.0,10.0,19.5
