MAS_S,MAS_O,MAS_D,MAS_M,PD
6.33,4.97,1.59,4.97,7
7.03,4.78,2.73,7.01,14
7.9,4.66,2.81,7.1899999999999995,5
5.93,5.58,1.53,6.1899999999999995,14
6.59,5.49,2.17,5.96,27
6.3100000000000005,5.8,2.2800000000000002,4.63,15
6.41,5.390000000000001,2.63,7.7,12
6.6,4.34,1.76,4.89,0
7.2,5.18,1.8900000000000001,6.0600000000000005,24
6.21,4.61,2.54,7.3100000000000005,8
6.34,5.390000000000001,2.8,5.54,23
7.48,5.84,2.42,4.65,27
6.95,5.34,2.7,5.75,7
5.74,4.63,2.88,5.5,19
7.5600000000000005,4.12,1.51,7.26,10
6.58,4.76,2.64,6.5,27
5.78,5.0,1.68,7.1,22
7.71,4.23,1.79,5.71,3
7.8100000000000005,5.18,1.9,4.52,17
7.05,4.79,2.9299999999999997,5.29,22
6.12,4.18,2.44,5.83,23
7.0,5.22,1.68,7.28,7
7.29,4.34,2.6100000000000003,5.24,27
7.15,5.05,1.62,7.21,4
6.47,4.37,2.16,5.79,23
6.63,5.54,2.63,5.14,14
7.37,5.74,1.6,7.21,19
7.67,4.47,2.6100000000000003,5.93,10
6.42,5.93,2.34,7.51,21
7.48,4.83,2.7199999999999998,5.91,0
5.76,5.34,2.26,7.82,20
6.5,5.67,1.9100000000000001,5.82,15
7.57,4.3,1.87,6.46,0
5.9,4.4,1.67,4.5,21
6.890000000000001,5.71,2.62,6.15,16
6.71,4.27,2.75,5.24,20
6.87,4.46,2.9699999999999998,4.74,13
5.52,4.22,2.08,7.48,16
6.83,5.28,2.95,7.51,16
7.73,5.35,1.62,4.77,24
7.35,4.82,2.09,6.59,0
6.95,5.91,1.8599999999999999,5.8100000000000005,25
6.14,4.04,2.3,7.52,10
6.23,5.1,1.82,4.64,18
7.08,5.51,2.5,6.859999999999999,7
6.54,4.27,2.6500000000000004,5.62,8
6.58,5.95,1.77,5.61,1
8.0,5.12,1.78,6.15,19
5.85,4.38,1.97,6.74,27
7.75,4.16,2.11,6.33,11
5.85,4.23,2.18,7.74,12
6.78,4.32,2.6,5.0600000000000005,19
6.37,5.42,2.8600000000000003,7.3100000000000005,1
6.42,5.09,2.94,6.83,15
7.88,5.1899999999999995,2.01,5.51,10
7.36,5.12,1.55,5.38,27
7.41,4.55,1.85,6.32,25
7.720000000000001,5.25,2.91,5.63,22
6.5,4.18,1.75,5.09,4
5.87,5.66,2.6500000000000004,6.84,2
7.6899999999999995,5.140000000000001,3.0,5.79,17
7.08,5.390000000000001,1.87,7.09,24
6.0600000000000005,5.52,2.42,5.3100000000000005,16
7.8100000000000005,5.02,1.93,6.38,16
6.51,4.05,1.88,4.74,14
7.3,4.02,2.99,6.57,1
6.52,5.140000000000001,1.93,6.609999999999999,5
7.93,5.0,2.27,4.66,15
7.43,5.08,1.81,5.47,23
6.16,5.15,2.14,7.2,18
6.67,4.83,1.76,7.8100000000000005,24
5.92,5.46,2.77,6.32,6
6.84,4.45,2.46,6.78,9
6.75,4.8,1.53,5.3100000000000005,17
7.5,5.17,1.5,6.6899999999999995,26
5.91,5.8,2.18,7.640000000000001,24
7.11,4.16,2.81,6.140000000000001,14
7.99,5.140000000000001,2.76,5.57,16
7.16,5.34,2.83,6.38,13
7.98,5.8,1.54,6.08,21
5.99,5.79,2.6100000000000003,6.26,18
7.17,4.88,1.96,6.75,4
7.640000000000001,4.3,2.27,6.859999999999999,2
6.83,5.49,2.0300000000000002,5.8100000000000005,26
7.05,4.68,2.26,5.13,11
7.43,4.95,2.21,4.59,4
7.83,5.21,2.31,7.3100000000000005,9
6.97,4.09,2.31,5.43,0
6.88,4.75,2.49,5.95,27
6.11,5.17,1.72,7.0600000000000005,6
6.65,4.33,2.5,4.54,12
7.82,4.27,1.88,6.88,2
5.97,5.5600000000000005,2.29,7.83,18
5.97,5.0,1.97,4.87,21
5.77,5.6899999999999995,2.2,7.140000000000001,27
6.48,5.92,1.53,6.640000000000001,25
7.970000000000001,4.04,2.21,6.47,8
7.71,4.82,2.92,7.550000000000001,23
5.76,5.65,2.4,4.7,7
7.970000000000001,4.61,2.63,4.92,19
6.83,4.11,2.51,6.67,19
5.57,4.11,2.49,6.88,10
7.84,5.41,2.62,6.71,5
5.73,5.51,2.6,7.62,26
5.82,5.6899999999999995,1.66,7.37,20
7.85,4.75,2.27,6.1,0
6.82,4.8,1.84,6.6,12
7.93,5.01,2.39,5.01,13
6.32,4.57,1.67,6.24,4
6.1,5.2,2.36,5.4,24
5.53,5.8,2.8,5.36,24
7.24,5.95,2.62,4.61,21
6.97,5.92,2.51,5.98,27
5.84,5.640000000000001,1.99,4.68,17
5.93,4.63,1.58,4.81,12
6.9399999999999995,5.74,2.52,6.07,10
7.67,5.02,2.81,7.07,26
7.12,4.49,2.83,5.93,15
7.74,5.6899999999999995,2.73,6.09,15
7.57,5.42,2.6799999999999997,5.28,18
6.04,4.34,2.6100000000000003,5.27,11
6.47,5.43,2.66,4.96,3
7.45,4.22,1.9,4.97,25
7.5,4.16,2.58,6.41,10
5.98,5.27,2.94,6.390000000000001,14
5.96,4.17,2.02,5.76,9
6.51,4.2,2.38,7.54,22
5.91,4.4,2.88,5.28,26
6.0,4.58,1.76,5.47,8
7.12,5.71,2.75,5.75,18
7.65,4.8100000000000005,2.73,6.16,8
6.8,4.25,1.92,7.01,22
6.91,5.99,1.54,6.46,12
7.11,5.49,2.41,5.79,14
7.1899999999999995,4.1,1.8,7.0,16
7.18,4.07,2.64,7.220000000000001,6
5.75,4.46,2.99,6.96,7
5.88,5.1,2.89,6.0,17
6.9,4.94,2.26,5.55,25
7.8100000000000005,4.14,2.02,7.43,17
5.77,5.22,2.5700000000000003,6.57,25
7.91,4.45,2.6100000000000003,7.859999999999999,14
6.99,5.09,2.8,7.62,5
6.3,5.3100000000000005,1.56,7.79,2
6.890000000000001,4.3,1.83,6.859999999999999,1
7.24,4.26,2.8600000000000003,7.57,10
6.22,4.14,1.88,6.93,3
5.54,4.97,1.7,7.98,4
6.95,4.14,1.84,7.84,21
5.98,5.1899999999999995,1.78,5.53,20
6.84,4.41,1.75,7.390000000000001,24
6.87,4.97,2.37,4.74,2
7.83,4.19,1.83,7.88,9
7.3,5.12,2.62,5.42,11
5.86,4.5,2.66,5.9399999999999995,25
6.59,4.01,2.24,7.77,9
5.82,5.78,2.7800000000000002,5.78,17
6.49,4.91,2.3200000000000003,4.82,24
5.68,5.390000000000001,2.0,7.32,3
5.61,5.4399999999999995,2.96,4.63,7
6.15,5.74,2.9699999999999998,6.57,14
6.57,4.09,2.87,4.72,24
6.23,4.73,1.78,4.93,1
7.95,4.48,2.0,5.15,25
6.59,5.79,2.73,5.61,8
6.34,4.96,2.59,6.609999999999999,22
5.92,4.06,1.52,4.69,11
7.78,4.07,1.93,4.59,0
8.0,5.45,1.95,5.54,20
6.48,5.96,2.37,7.25,15
6.4,4.54,2.4,7.48,9
7.35,4.96,1.74,7.390000000000001,27
5.61,4.91,2.6,7.92,9
6.63,4.76,1.8,5.23,27
7.34,5.890000000000001,1.83,4.74,12
7.63,4.49,2.23,6.55,2
5.86,4.31,2.55,5.96,17
6.15,4.85,2.96,6.8100000000000005,25
5.93,4.55,2.37,7.79,26
7.0,4.03,1.62,5.65,15
7.88,5.09,2.6,5.32,1
6.19,5.78,1.82,6.36,8
7.42,4.86,2.58,7.33,21
6.96,5.25,2.8,5.55,7
7.84,4.75,1.94,5.72,25
7.23,4.98,1.97,5.67,25
6.04,4.94,1.96,6.59,2
7.18,5.95,2.85,5.4,1
6.17,4.11,2.4,5.46,11
5.56,4.49,2.37,5.01,0
6.55,4.48,1.76,5.62,20
6.26,5.73,2.6500000000000004,7.46,1
6.45,4.05,2.84,6.9399999999999995,10
6.6899999999999995,4.62,2.34,6.1,2
6.98,5.83,2.15,5.79,0
7.859999999999999,5.97,1.7,7.15,12
5.58,5.38,2.26,5.99,21
6.16,5.84,2.73,4.56,20
6.29,4.53,1.57,7.79,15
7.57,5.35,1.97,7.04,4
5.58,4.77,1.98,6.12,18
7.62,5.27,1.57,6.640000000000001,4
7.52,5.24,2.95,6.34,15
5.5,5.13,2.7800000000000002,6.47,1
7.33,4.04,2.48,5.44,6
6.35,4.71,2.19,5.33,22
5.58,5.42,2.9299999999999997,7.75,27
7.74,5.0600000000000005,2.52,7.43,4
7.87,5.9,1.58,6.43,4
7.6,5.8,2.29,5.04,11
6.42,4.67,2.8200000000000003,7.87,26
6.07,5.51,1.6,5.19,2
6.39,4.8,2.41,7.76,18
7.0600000000000005,4.87,2.1,7.99,8
5.73,5.3100000000000005,2.27,4.74,3
6.8100000000000005,4.66,2.6100000000000003,7.45,9
7.16,4.06,2.46,4.82,17
6.58,5.7,2.6,7.09,6
7.04,4.82,1.88,5.24,21
6.83,4.62,2.19,7.300000000000001,16
5.67,5.96,2.2,6.720000000000001,7
5.95,5.95,1.56,4.82,27
5.55,5.76,2.5300000000000002,6.6899999999999995,23
7.09,4.78,2.43,7.2,11
7.32,5.8,2.91,5.4,25
7.4399999999999995,4.16,2.3200000000000003,7.8100000000000005,25
6.33,4.09,2.7800000000000002,5.7,9
7.48,4.97,2.87,6.12,20
6.92,5.29,1.73,7.17,4
6.3100000000000005,5.88,2.4,6.5,1
6.38,4.5600000000000005,1.53,5.92,9
7.96,5.75,2.3200000000000003,7.54,17
7.73,4.11,2.09,5.58,5
6.73,5.66,2.8600000000000003,6.12,25
7.49,4.41,2.06,7.82,12
5.96,5.18,2.0,6.07,16
7.8100000000000005,5.3,2.59,5.6899999999999995,2
6.53,4.0,1.53,6.26,22
7.82,5.8,1.81,7.4399999999999995,21
7.27,5.49,2.42,5.04,4
7.07,5.1,2.38,6.07,0
6.92,4.01,2.0700000000000003,7.02,12
5.57,4.28,1.74,7.75,21
6.44,5.63,2.01,5.84,22
6.05,4.15,2.67,7.16,5
6.02,5.41,1.68,4.71,1
5.74,5.54,2.92,5.87,8
6.34,4.24,1.67,7.9399999999999995,4
7.37,5.140000000000001,1.92,4.52,14
7.5,4.8,2.02,5.46,19
5.58,5.48,2.75,4.93,5
6.9,5.17,1.6,5.57,25
7.1899999999999995,4.89,2.25,7.46,15
6.66,4.37,2.3200000000000003,5.45,23
7.1,5.78,2.13,7.42,7
7.83,4.3,2.62,5.18,27
7.04,5.68,2.0700000000000003,7.63,13
5.76,5.68,2.23,5.71,23
7.32,4.66,2.36,7.890000000000001,12
7.53,4.61,2.3,5.65,21
7.53,5.7,1.9100000000000001,4.51,20
7.75,4.18,3.0,5.51,10
6.02,4.16,2.08,6.68,1
7.49,5.640000000000001,1.66,6.75,5
7.34,4.51,1.95,6.390000000000001,26
5.92,5.36,2.02,7.26,3
6.97,5.390000000000001,2.9699999999999998,5.28,21
6.55,5.11,2.2,5.8,20
5.75,4.74,2.01,4.53,22
7.45,5.59,1.83,6.96,18
7.78,4.78,1.81,5.8,5
7.47,4.26,2.0300000000000002,5.79,27
6.8100000000000005,5.68,1.88,6.59,12
7.55,4.11,1.54,7.17,4
5.59,4.01,2.42,7.93,18
7.32,5.2,2.08,6.970000000000001,5
7.74,4.53,2.09,6.720000000000001,15
5.85,4.79,2.34,6.28,26
7.84,5.74,1.84,5.71,4
7.2,4.76,1.53,7.88,16
7.92,4.68,2.35,5.71,26
6.23,4.42,1.8,6.859999999999999,5
7.33,5.48,2.0300000000000002,7.890000000000001,3
7.4,5.32,1.93,4.93,21
7.71,4.87,2.2800000000000002,4.81,24
5.83,4.23,1.59,7.75,9
5.85,4.63,1.63,5.73,1
7.65,5.24,1.8900000000000001,5.12,5
6.8100000000000005,4.86,2.75,7.0600000000000005,4
5.76,5.43,2.91,6.42,17
5.99,4.95,1.66,7.95,8
6.21,5.23,1.95,4.81,27
6.890000000000001,4.8,1.93,7.75,5
5.81,5.09,2.62,6.85,16
7.63,4.92,2.6500000000000004,5.93,9
5.69,5.41,2.6799999999999997,6.88,10
6.13,4.5600000000000005,1.76,5.8,23
7.99,5.24,2.15,5.5600000000000005,10
7.859999999999999,4.69,2.3200000000000003,6.36,13
7.49,5.08,2.5300000000000002,6.87,19
7.25,5.9399999999999995,2.09,5.02,13
6.34,4.24,1.95,7.38,1
6.63,4.91,2.6100000000000003,6.970000000000001,14
6.9399999999999995,4.24,1.75,7.42,10
6.82,4.24,1.58,7.92,20
6.14,4.24,1.79,6.43,2
7.4399999999999995,5.890000000000001,1.95,5.27,23
6.35,5.22,1.95,5.68,10
5.87,4.68,2.91,7.8100000000000005,5
7.22,4.37,2.81,4.81,8
7.390000000000001,5.16,2.23,7.890000000000001,13
7.640000000000001,4.62,2.49,4.9,16
5.75,5.63,2.98,5.98,12
6.42,5.26,1.6,7.1899999999999995,8
7.48,4.48,2.74,4.74,22
5.64,4.61,1.57,7.2,3
5.74,4.93,1.72,7.88,8
7.609999999999999,4.54,2.14,7.140000000000001,17
7.35,4.96,2.27,5.12,7
5.58,5.65,1.92,6.6,21
7.43,5.86,2.54,6.02,6
5.84,4.94,1.69,6.22,20
6.12,4.87,2.7199999999999998,7.46,16
6.67,4.51,1.5,7.98,5
5.83,4.44,1.56,4.99,7
5.58,5.22,1.79,6.88,19
7.95,5.98,1.7,4.87,24
5.74,4.03,2.31,5.5,21
5.9,4.82,1.68,4.86,25
6.52,5.61,2.89,7.52,5
5.91,4.99,2.8200000000000003,5.5600000000000005,24
6.6899999999999995,4.4,2.29,4.81,11
5.79,5.76,2.96,6.38,6
7.63,4.98,2.3,7.67,24
5.51,5.13,1.75,7.52,15
7.05,4.22,2.27,4.57,18
5.67,4.86,1.74,7.88,3
6.3100000000000005,4.53,1.77,6.98,5
5.74,5.12,2.85,5.83,9
5.58,4.11,2.54,6.32,1
6.09,5.2,1.93,7.220000000000001,16
6.03,5.59,1.59,7.09,22
5.59,5.02,2.62,5.95,24
7.67,5.63,2.92,6.42,22
7.92,4.36,2.49,4.69,24
6.8,4.34,2.92,7.77,13
7.390000000000001,4.47,2.46,7.32,20
5.62,5.47,2.52,7.890000000000001,19
5.69,5.61,2.63,6.98,6
6.42,4.87,2.2,4.71,16
6.59,4.25,2.75,6.78,23
6.96,4.78,1.51,6.9399999999999995,13
7.37,5.74,2.45,5.14,5
6.84,4.8,1.7,7.51,20
5.72,4.76,2.05,5.19,23
6.42,5.6899999999999995,2.01,5.32,3
7.77,4.31,1.59,6.13,14
7.0600000000000005,4.12,2.59,5.28,14
6.05,5.38,2.62,7.77,19
6.88,4.71,2.23,8.0,25
5.89,5.88,1.5,4.7,22
7.84,4.31,2.0700000000000003,5.86,12
6.07,4.37,2.29,5.29,8
7.7,4.22,2.18,6.17,12
7.78,4.38,2.8200000000000003,7.65,12
6.65,4.77,1.94,5.6,22
7.63,4.97,2.16,6.82,25
5.73,4.58,2.2199999999999998,4.79,7
5.63,5.29,1.5,5.2,24
6.0,4.3,1.8,7.42,9
6.73,5.27,1.54,6.73,4
6.17,4.51,2.8600000000000003,6.34,22
5.5,5.42,2.73,7.52,19
7.970000000000001,5.75,2.62,4.99,21
7.390000000000001,4.1,1.97,6.640000000000001,15
7.12,4.53,1.97,4.68,9
7.27,5.16,2.17,6.9,12
7.92,4.25,2.2,5.77,27
5.83,5.57,2.99,4.75,8
6.36,5.08,1.83,6.71,2
7.92,4.36,1.5,5.86,6
6.16,4.87,1.85,5.84,1
5.62,4.55,2.3,6.93,9
7.37,5.36,2.18,5.67,27
6.82,5.5,2.2,5.11,7
7.29,5.9,1.62,5.36,10
6.62,4.64,2.36,7.9,5
7.88,5.96,2.43,4.85,3
5.9,5.2,2.06,6.78,16
5.94,5.07,1.73,4.9,22
6.05,4.92,2.6500000000000004,4.66,26
7.48,5.24,2.8600000000000003,7.24,19
5.82,4.19,2.34,6.1,19
5.85,5.1,2.02,7.34,4
5.94,4.64,2.26,6.71,8
7.17,4.67,2.75,6.03,8
5.82,5.41,1.69,6.1899999999999995,15
7.15,5.13,2.37,5.23,23
7.51,4.28,2.27,5.72,9
6.95,5.43,1.81,4.79,4
5.56,5.84,1.84,4.95,6
7.43,5.640000000000001,1.68,6.43,27
7.18,4.06,1.61,5.32,10
6.82,6.0,1.76,6.34,10
6.55,4.92,2.49,6.66,3
7.75,5.13,1.75,6.68,5
6.8,5.77,2.87,5.68,12
7.16,5.9,2.7,7.99,11
5.99,5.01,1.88,4.61,16
7.53,4.41,2.87,7.29,3
7.09,5.43,2.4,5.48,11
5.75,4.41,2.23,5.99,27
7.8100000000000005,4.3,2.84,6.41,12
6.36,4.8100000000000005,2.48,6.41,8
5.97,4.46,2.66,4.82,12
7.76,5.36,2.85,4.91,25
7.85,5.29,2.34,5.9399999999999995,5
7.78,4.4,2.44,7.76,17
6.85,5.49,1.58,7.16,26
6.43,4.05,1.84,4.6,6
6.01,4.03,1.99,7.95,13
7.65,4.36,1.83,6.04,13
6.87,5.52,1.67,6.16,18
7.37,5.61,2.3,7.63,26
6.3,5.79,2.37,6.41,0
6.08,5.85,2.2,6.54,27
6.9399999999999995,4.02,2.79,6.2,24
7.0600000000000005,4.87,1.56,6.52,7
6.8,4.61,2.56,6.09,20
7.609999999999999,4.69,2.94,7.12,27
7.74,5.98,1.78,6.76,4
7.52,4.51,1.98,6.02,4
5.6,4.15,2.5300000000000002,7.37,19
6.16,5.8,2.2199999999999998,6.85,3
6.9399999999999995,5.35,2.94,7.01,18
6.5600000000000005,5.9,2.94,6.34,22
6.8100000000000005,4.51,2.5700000000000003,6.1,10
6.77,5.84,2.49,7.4,25
6.15,4.95,1.74,6.36,15
6.03,5.2,2.39,7.82,7
6.0600000000000005,5.65,1.72,6.51,2
7.140000000000001,5.07,2.26,4.95,0
6.5,5.33,1.67,6.55,1
7.98,4.41,1.97,7.0,9
5.7,5.4399999999999995,2.67,7.34,4
6.49,4.52,2.39,7.95,19
6.53,5.71,2.58,7.57,26
6.24,4.97,1.68,5.65,2
5.99,4.28,2.21,5.46,9
6.84,4.19,2.7800000000000002,6.78,15
6.72,5.22,1.97,7.87,17
5.53,5.58,2.4699999999999998,4.54,1
5.88,4.67,2.6100000000000003,4.61,14
6.5,4.97,2.7199999999999998,5.44,4
6.8100000000000005,4.49,2.34,6.390000000000001,23
5.51,5.52,2.34,7.71,17
5.69,4.66,1.74,7.67,22
6.11,5.43,2.98,4.69,3
6.97,5.57,1.56,6.79,26
6.42,5.45,2.12,4.53,0
7.78,4.91,2.52,4.62,27
5.67,4.85,1.92,6.5600000000000005,19
6.97,4.69,1.59,5.47,27
5.66,5.86,2.79,5.43,22
7.3,5.0600000000000005,1.96,6.93,17
7.24,4.38,2.2199999999999998,7.83,6
7.22,5.47,2.52,5.91,14
6.34,5.2,2.04,7.0600000000000005,10
7.6899999999999995,5.83,2.23,7.98,22
6.9399999999999995,4.63,2.11,5.19,23
7.98,5.26,2.38,5.43,0
7.640000000000001,5.88,1.92,7.85,3
6.8100000000000005,4.26,2.8600000000000003,7.18,6
7.96,5.34,2.19,6.890000000000001,11
6.98,4.35,2.88,4.84,0
5.67,4.94,1.51,6.0,5
7.34,5.9,1.82,5.22,24
6.77,4.62,1.88,5.15,14
5.92,5.68,1.56,4.56,27
7.92,4.75,2.88,6.88,13
6.63,5.17,1.57,4.82,1
7.24,4.41,2.99,7.32,0
7.09,5.140000000000001,1.77,4.58,15
7.68,4.96,2.55,6.95,22
5.98,5.22,2.0,7.609999999999999,10
6.17,4.86,2.77,6.800000000000001,16
7.13,4.53,2.12,6.95,11
6.1,4.38,2.18,4.73,15
6.6899999999999995,4.7,1.68,6.74,4
5.55,4.69,2.09,7.26,7
6.78,5.78,2.87,4.93,18
7.21,5.33,2.8200000000000003,7.6,13
5.83,5.83,2.9000000000000004,5.08,6
6.72,5.7,1.74,5.63,5
7.25,4.04,2.1,6.0600000000000005,7
7.91,5.25,2.1,7.96,9
6.62,5.74,2.19,5.48,7
5.5,5.78,2.51,8.0,27
6.8100000000000005,4.14,2.54,5.22,26
6.72,5.21,2.26,5.59,21
6.890000000000001,4.15,1.69,6.34,4
5.66,5.140000000000001,1.78,5.92,3
5.73,5.84,2.6799999999999997,4.56,9
6.4,4.93,2.64,5.75,20
7.67,4.5,2.71,6.32,10
5.95,4.63,1.76,7.890000000000001,8
7.890000000000001,5.7,2.41,6.25,15
6.11,5.48,2.99,7.26,7
7.78,4.93,2.87,5.6,5
7.640000000000001,5.82,1.99,7.03,16
6.6,4.58,2.26,4.58,23
6.83,5.24,2.14,5.51,22
6.97,5.17,2.64,6.0600000000000005,2
6.87,4.84,2.8200000000000003,4.66,15
6.95,5.52,1.96,7.07,19
6.23,4.87,2.88,4.58,25
5.78,5.640000000000001,2.83,8.0,3
7.800000000000001,5.09,2.37,5.78,20
7.16,4.3,2.6100000000000003,6.2,13
5.58,5.68,2.67,5.18,14
7.12,5.32,1.96,7.92,16
7.0,4.39,2.2,6.87,5
7.28,4.0,2.16,5.8100000000000005,24
5.93,4.78,2.33,6.48,18
7.2,4.94,2.18,4.91,11
7.28,5.98,2.49,5.54,8
7.35,5.57,1.57,7.41,15
5.74,5.59,2.73,5.19,2
6.67,5.08,2.44,4.68,17
6.79,5.12,2.35,7.57,27
5.98,5.86,2.9299999999999997,7.2,14
6.35,5.03,2.73,7.35,11
6.63,5.62,2.73,6.62,22
6.75,5.78,2.8,7.98,17
7.34,4.06,1.52,5.62,16
6.09,4.14,2.44,7.720000000000001,25
6.45,4.92,2.74,7.09,19
6.58,4.09,2.21,6.02,19
5.59,5.98,1.82,5.51,24
7.140000000000001,4.49,2.84,6.5,10
6.0600000000000005,5.0,2.88,6.63,2
6.2,5.54,2.12,5.95,21
7.45,4.05,1.53,6.75,13
6.39,4.02,1.73,7.38,11
6.49,5.72,1.51,6.99,26
7.33,5.29,1.76,6.6,13
7.23,4.76,1.5,4.85,15
5.6,4.87,2.46,7.4399999999999995,20
5.77,4.85,2.5700000000000003,7.15,21
6.43,5.15,2.18,7.41,12
7.4,5.34,1.8,7.57,22
6.22,4.29,2.45,6.93,27
5.81,4.69,2.77,5.01,26
5.89,4.1,1.59,4.74,24
5.52,4.71,2.45,5.29,11
6.45,5.0600000000000005,2.18,6.07,19
5.77,4.96,2.73,5.84,26
6.84,5.63,2.5,7.800000000000001,12
7.11,4.1,2.71,4.84,6
7.49,5.98,2.63,7.32,7
7.87,4.27,2.55,7.9,1
7.26,4.93,2.14,7.74,14
6.97,5.59,2.76,6.82,25
6.79,4.15,2.14,7.46,26
7.609999999999999,4.79,1.6400000000000001,5.84,27
7.54,5.76,2.0300000000000002,6.79,13
5.77,5.84,1.97,6.9,20
5.73,5.67,1.88,5.43,18
7.46,5.59,2.98,4.62,11
6.6899999999999995,5.36,2.95,6.859999999999999,24
7.859999999999999,5.47,2.16,7.43,18
7.71,4.86,2.83,5.5,18
6.73,5.93,2.99,7.220000000000001,24
5.75,4.03,2.04,6.33,19
5.54,5.52,2.63,6.18,15
6.12,4.1,2.3200000000000003,6.66,3
5.51,5.140000000000001,1.71,6.16,20
